Nombre;Descripción;Nivel de precio;Dirección;Comuna;Rating (1-5);Ranking en Santiago;Consumo;Termómetro Vegano;Origen geográfico;Tipo local
Thai Express;No tiene;Económico;Merced 483, Santiago 8320000 Chile;Santiago;4;7 de 82 tentempiés en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas;Tailandesa;Restaurante
Vegan Bunker;No tiene;Gama media;Fresia 529, Santiago 8320000 Chile;Providencia ;4;418 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Otra;Restaurante
La Pizza Nostra;No tiene;Gama media;Avenida Providencia 1975, Santiago 22318941 Chile;Providencia;3.9;173 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas;Otra;Pizzería
Rooftop Bar The Singular;With a privileged view of the San Cristobal hill and a bar with 115 liquors to choose from, our Rooftop Bar is considered one of the best terraces in Santiago. Focused on preparing signature drinks, our team of bartenders takes care of every detail to make time spent in this space something special and unique. Rooftop Bar The Singular Santiago is not subject to reservations. Attention in order of arrival and availability.;Más caro;Merced 294 The Singular Hotels, Barrio Lastarria, Santiago 8320128 Chile;Santiago;4.5;139 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos y opciones veganas;Otra;Bar
Amadeus;"Somos un cafe bar  bistro
especialistas en cervezas del mundo 
y vinos de Chile ofrecemos excelentes maridajes 
somos una experiencia culinaria 
visitanos en Santiago de chile";Gama media;Avenida General Bustamante 50, Santiago 7500776 Chile;Santiago;4;341 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas;Otra;Restaurante
Jardín Mallinkrodt;No tiene;Gama media;Mallinkrodt 170, Santiago 7520362 Chile;Providencia ;4;229 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas;Otra;Restaurante
Thai Isan;No tiene;Económico;Huerfanos 2460, Santiago Chile;Santiago;4.4;360 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas;Tailandesa;Restaurante
Aldea Nativa;No tiene;Gama media;Avenida Tobalaba 1799, Santiago 7510447 Chile;Providencia;4;483 de 3.950 restaurantes en Santiago;Servicio en mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten ;Otra;Restaurante
Blue Jar;Blue Jar es un restaurant y café que sirve comida estacional de influencias diversas. Ofrece café de especialidad desde las 8 AM y sándwiches y happy hour en la tarde. Realiza eventos especiales y una cena con platos que no están en la carta los primeros jueves de cada mes. Su carta de vinos tiene viñas nacionales de producción sustentable. Su bakery es de elaboración propia.;Gama media;Profesora Amanda Labarca, 102, Santiago Chile;Santiago;4.4;221 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Otra;Restaurante
Bao Bar;No tiene;Gama media;Av. Manuel Montt 925, Santiago 7500981 Chile;Providencia ;4.6;244 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos y opciones veganas;Asiática;Restaurante
Route 66;OUR ROUTE Nuestra misión es ofrecer en cada visita lo mejor de la gastronomía americana e internacional con el compromiso de calidad que caracteriza a Route 66. Vive la auténtica experiencia de Route 66……Restaurant, Bar & Pastries!!!;Gama media;Isidora Goyenechea 2960 esquina San Sebastian, Santiago 7550057 Chile;Las Condes ;4.2;150 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Norteamericana;Restaurante
Pad Thai;No tiene;Gama media;Av Manuel Montt 231, Santiago Chile;Providencia;4.2;270 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Tailandesa;Restaurante
 El Árbol Restaurant;"El Árbol es un restaurant Vegetariano y Vegano que busca generar una opción gastronómica y nutricional que apoye el ""no consumo"" de carne y la ""disminución del consumo"" de lácteos y sus derivados.";Gama media;Huelén 74 Providencia, Santiago 8320000 Chile;Providencia ;4.3;312 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Otra;Restaurante vegetariano
Croq Délice;Te esperamos en nuestra cafeteria y creperia francesa, desde el desayuno hasta la cena. Tenemos café de especialidad, chocolate caliente, los mejores Croques hecho con nuestro pan casero, los crêpes estan hechas con harina integral;Económico;Merced 537, Santiago Chile;Santiago;4.9;251 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas;Francesa;Cafetería
Vapiano Parque Arauco;Welcome to VAPIANO! At VAPIANO you enjoy fresh pasta, pizza, antipasti, salad, risotto or our dolci in mediterranean atmosphere. Our Vapiansiti prepare your favourite dish fresh in front of your eyes, especially for you. Extra meat, vegetarian or vegan, your personal preferences are respected during the preparation of the dish. Uncompromised freshness guarantees exceptional taste!;Gama media;Avenida Presidente Kennedy 5413 CC Parque Arauco, Local 393, Santiago 7560994 Chile;Las Condes ;4.2;238 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Otra;Comida rápida
Mulato;No tiene;Gama media;Jose Victorino Lastarria 307, Santiago 8320126 Chile;Santiago;4.3;113 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas;Latinoamericana;Restaurante
Giratorio Restaurant;No tiene;Económico;Av. Nueva Providencia 2250, 7500000 Providencia, Región Metropolitana;Providencia;4.1;102 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos y  opciones veganas;Latinoamericana;Restaurante
Trattoria Rita;"
El mejor Restaurante Italiano de Santiago. Ensaladas, pastas y pizzas. En el Boulevard Parque Arauco y Mirador del Alto Las Condes";Gama media;Avenida Presidente Kennedy 5413, Santiago 7550000 Chile;Las Condes ;4.3;120 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas;Italiana;Restaurante
El Naturista;No tiene;Gama media;Moneda 846, Santiago Chile;Santiago;4.1;260 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Chilena;Restaurante
Ruca Bar;"Ruca Bar estará cerrado por vacaciones de Navidad desde el día 24 de Diciembre hasta el día 2 de Enero incluido. Disculpen las molestias.

Ruca Bar es un nuevo concepto auto definido como ""Bar de Tapas Gourmet"" y está ubicado en el corazón del emergente Barrio Italia. 

La propuesta del Ruca Bar consiste en fusionar varios conceptos clave con el fin de entregar una experiencia única al cliente: ambiente internacional, fomentado por su staff (principalmente europeos de diferentes nacionalidades); la fusión del concepto de las ""tapas"" tradicionales españolas con lo contemporáneo y gourmet acompañado de una excelente selección de cócteles, tragos y vinos a un precio muy asequible; y la excelencia en el servicio. Queremos romper con el típico concepto tradicional de restaurante o bar, separándo lo gourmet de lo formal y caro, creando un ambiente distendido de bar informal en el que se puede disfrutar de la gente y de la música, pero comiendo y bebiendo como en uno de los mejores restaurantes y barras de Santiago.

Como el nombre indica, queremos que nuestros clientes se sientan como en casa. Les damos la bienvenida a nuestra Ruca.";Gama media;Avenida Condell 868, Santiago 7500000 Chile;Providencia;4.4;8 de 101 bares y pubs en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas;Otra;Bar
La Yunta, Sándwich & Bar;En La Yunta Sandwich & Bar tenemos comida chilena. Rica y deliciosa. Norte, sur, cordillera y costa. Ingredientes de origen, de todos los lugares, de todas las historias. ¡Viaja por Chile a través de sus sabores! Todas nuestras sucursales: Av. Manuel Montt 748, Porvidencia - Av. El Bosque Central 18, Las Condes - Av. Tabancura 1344, Vitacura;Gama media;Manuel Montt 748, 7500977 Providencia, Región Metropolitana;Providencia;4.4;146 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas;Chilena;Comida rápida y bar
Malasaña;This is a small neighborhood tavern that offers a range of beers, draft and bottled. It is know for their tradicional Spanish ambiance and their amazing burgers. They also have tapas, tortillas and croquetas that will make you feel in Madrid.;Gama media;Argomedo 60, Santiago 8330398 Chile;Santiago;4.4;209 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas;Española;Restaurante
Tacu Tacu Providencia;No tiene;Gama media;Av. Andrés Bello 2233, Local 2217, 7510056 Providencia, Región Metropolitana;Providencia;4.8;194 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Opciones veganas;Peruana;Restaurante
Hansoban Korean Bbq;No tiene;Gama media;Rio de Janeiro 248, Santiago 8420413 Chile;Santiago;4.3;178 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos y  opciones veganas;Coreana;Parrilla
Romaria;No tiene;Gama media;Av Vitacura 3396 Casa9, Santiago 7630633 Chile;Vitacura;4.6;149 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas;Italiana;Restaurante
In Pasta;We are a family bussiness from the south of Italy. We are a trattoria. Our specialita is pasta and gelatos.;Gama media;Santa Isabel 0395 Sta Isabel esquina avda Condell. Barrio Italia, Santiago 7501504 Chile;Providencia;4.7;182 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas;Italiana;Restaurante
Siam Thai;Somos un restaurante de comida tailandesa. Actualmente ubicado en el barrio Italia, fruto de un incendio en nuestra antigua cocina. Muchos viajeros nos recomiendan por ser un lugar acogedor con sabores exquisitos. Nuestras preparaciones y ambiente buscan brindar la mejor experiencia y diferenciarnos de lo que se conoce. Siam Thai, una mezcla de tradición y modernidad. Actualmente estamos a la espera de la patente de alcoholes de la Municipalidad de Providencia (ofrecemos la opción de descorchar) y somos gay friendly.;Gama media;Av. Italia 1139, 7501295 Santiago, Providencia, Región Metropolitana;Providencia;4;234 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten ;Tailandesa;Restaurante
El Mesón Nerudiano;Notiene;Gama media;Rosal 361 Barrio Lastarria, Santiago 8320144 Chile;Santiago;4.3;110 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Latinoamericana;Restaurante
VOP;No tiene;Gama media;Augusto Leguia Norte, 224, Santiago 8320000 Chile;Las Condes ;4.5;269 de 3.950 restaurantes en Santiago;Entrega a domicilio y Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Otra;Restaurante
Ootoya - Ramen & Noodles House;No tiene;Gama media;Constitución 125, 7520360 Santiago, Providencia, Región Metropolitana;Providencia;4.6;186 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas;Japonesa;Restaurante de ramen
Piso Uno;En Piso Uno, capturamos la frescura del mar y la riqueza de la tierra para fusionar la mejor cocina peruana y japonesa, una experiencia nikkei inigualable. Cada plato es una obra de arte que combina Desde los sabores más delicados del pescado hasta los cortes más exquisitos de carne. Siempre con los mejores DJs de Santiago y en un ambiente de lujo y sofisticación, te invitamos a vivir una experiencia gastronómica y sensorial única. Bienvenidos a Piso Uno, la verdadera fiesta nikkei;Más caro;Santa Magdalena 116 Pasaje Interior, Santiago 7510057 Chile;Providencia;4.3;83 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten ;Peruana y Japonesa;Restaurante
Sapiens;Sapiens es un restaurante tranquilo ubicado en Avenida Italia 1206, Providencia. Contamos con la combinación de ingredientes más saludable y sabrosa para que tu desayuno, almuerzo y cena sean una experiencia consciente y maravillosa. Todos nuestros productos son 100% vegetales.;Gama media;Av. Italia 1206, 7501297 Santiago, Providencia, Región Metropolitana;Providencia;4.6;235 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten ;Otra;Restaurante
Ramen Kintaro;Somos el primer local en Chile dedicado exclusivamente al ramen. Ofrecemos el auténtico ramen japonés con una variedad de sabores, como miso, shio, shoyu, paitan y tonkotsu, entre otros. ¡Sin ramen no hay vida!;Gama media;Monjitas 460, 8320112 Santiago, Región Metropolitana;Santiago;4.2;119 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Japonesa;Restaurante de ramen
Le due torri;No tiene;Más caro;Costanera Sur S.J.E. de Balaguer 6400 Vitacura, Santiago 7640859 Chile;Vitacura;4.4;63 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas;Italiana;Restaurante
Restaurant Japon;Ubicado en el corazón de Santiago, nuestro restaurante japonés ofrece una experiencia gastronómica auténtica y sofisticada. En Baron Pierre de Coubertin 39, encontrarás un ambiente acogedor y elegante donde la tradición japonesa se fusiona con ingredientes frescos y de alta calidad.<br /><br />Disfruta de una amplia variedad de platos tradicionales como sushi, sashimi, nigiri, tempura y mucho más, preparados cuidadosamente por chefs expertos. Nuestro compromiso es brindar sabores auténticos que transporten a nuestros comensales directamente a Japón, con un servicio atento y un espacio ideal para compartir momentos especiales.<br /><br />Perfecto para cenas familiares, reuniones de trabajo o celebraciones, nuestro restaurante es un destino imprescindible para los amantes de la cocina japonesa en Santiago.;Gama media;Baron Pierre de Coubertin 39, Santiago 8330021 Chile;Santiago;4.4;116 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Japonesa;Restaurante
Meze;Meze es un secreto gastronómico muy bien guardado ubicado en providencia. Llevamos 6 años entregando una variada carta , desde platos vegetarianos, hasta cordero cocinado durante 6 horas , con sabores leales a su cultura , que te transportan a Turquía con solo poner un pie en nuestro restaurante;Gama media;Avenida Manuel Montt 270, Santiago 7500591 Chile;Providencia ;4.2;129 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas;Medio Oriente;Restaurante
Le Due Torri Isidora;No tiene;Gama media;Isidora Goyenechea 2908, 7550033 Las Condes, Región Metropolitana;Las Condes ;4.2;87 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas ;Italiana;Restaurante
Olimpia Fuente de Soda & Pizzería;La pizzeria Olimpia es un bar que esta en la mitad de Providencia, entre el paseo Orrego Luco y Pedro de Valdivia. La especialidad son las pizzas a la piedra, hechas con masa italiana y el mejor queso del mercado. En un par de meses se ha transformado en una de las mejores pizzerias de Santiago. El lugar es muy cálido, se rescataron elementos de la famosa Fuente de Soda Kali, que estuvo por más de 40 años en ese mismo lugar. Cuenta con un terraza que da a la Avenida Providencia y la atención es rápida y personalizada.;Gama media;Providencia 2033, Santiago 7510148 Chile;Providencia;4.5;133 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos y opciones veganas;Italiana;Pizzería
Casa Bosque;Casa Bosque esta inserta en la Pre Cordillera de Los Andes a solo 30 minutos de Santiago. En su original construccion se reciclaron más de 8.500 neumáticos en sus paredes y todo recubierto en adobe. Tiene capacidad para atender 300 personas a la carta y 350 para eventos en general. Cuenta con amplios estacionamientos y personal a cargo.;Gama media;Camino Al Volcan 16829, Santiago Chile;San José De Maipo;4.4;90 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos y opciones veganas;Otra;Comida rápida y parrilla
Carrer Nou;No tiene;Gama media;José Miguel Claro 1802, Santiago Chile;Providencia;4.5;59 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Española y Mediterránea;Restaurante
Swagat Indian Restaurant;Located in the heart of Santigo. we specialize in the Mughlai and North Indian Cuisine which is prepared with the use of exotic spices. Swagat is contemporary restaurant offering exceptional dining experience;Gama media;Blas Cañas 473 Esquina Carmen a 3 cuadras de metro Sta Lucia, Santiago 7500000 Chile;Santiago;4.9;183 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;India;Restaurante
Naoki;No tiene;Más caro;Avenida Vitacura 3875, Santiago 7630000 Chile;Vitacura;4.7;52 de 3.950 restaurantes en Santiago;Entrega a domicilio y Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Japonesa;Restaurante de sushi
Pinpilinpausha;Pinpilinpausha es un clásico de Santiago, ubicado en uno de sus mejores barrios. Especializado en cocina española, destaca por sus exquisitos pescados y mariscos, preparados con ingredientes frescos y auténticos sabores del Mediterráneo. Su decoración y ambiente acogedor lo convierten en el lugar perfecto para disfrutar de una experiencia gastronómica única. La terraza ofrece un espacio ideal al aire libre, y su destacada coctelería complementa la propuesta con tragos creativos y clásicos. Pinpilinpausha no es solo un restaurante, es un ícono que combina tradición, sabor y excelencia en cada visita;Más caro;Isidora Goyenechea 2900, Santiago 7550033 Chile;Las Condes ;4.5;62 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Española;Restaurante
Rivoli;No tiene;Más caro;Nueva De Lyon 77, Santiago 8320000 Chile;Providencia;4.1;155 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Italiana;Restaurante
Maniero Pasta e Mare;No tiene;Gama media;Nueva De Lyon 155 Esquina Andrés Bello, local 101, Santiago 7510078 Chile;Providencia;4.7;131 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas;Italiana;Restaurante
Pizzeria Tiramisu;Tiramisú integra un concepto simple y esencial de la cocina italiana tradicional y rústica. Nuestro concepto, basado en la coherencia de la cultura italiana y las materias primas de las diferentes regiones de Italia, además de la estética del diseño y nuestro énfasis en la atención al cliente, comparte el objetivo de hacer que la experiencia del cliente sea única, todos los días.;Gama media;Isidora Goyenechea 3141, 7550000 Las Condes, Región Metropolitana;Las Condes ;4.4;89 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas;Italiana;Pizzería
Verde Sazon;Cocina vegetariana de autor ubicada en el singular y folclórico Barrio Italia de Santiago. Verde Sazón ofrece una propuesta única de comida vegetariana: inspirada en diversas cocinas del mundo y con los mejores ingredientes locales, cada plato busca reconfortar y sorprender al paladar. Ofrecemos un bar completo, una gran selección de vinos locales, cerveza artesanal de barril, espresso cuidadosamente elaborado y jugos prensados ​​en frío. Terraza al aire libre y exposición de arte local. ¡Visítenos! ¡Salud!;Gama media;Miguel Claro 1873, 7501414 Providencia, Región Metropolitana;Providencia ;4.5;170 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Otra;Restaurante vegetariano
Le Bistrot de Gaetan;In the heart of Providencia in 2010, Bistromania was born: a simple idea in a welcoming environment mixing old-time gastronomy with the great French classics. By bringing a slice of France to Chile, our goal was to conquer Chilean tastebuds and to take travelling French palates back home with our gourmet dishes in the bistrot style.Gaetan Eonet and his team invite you to their world, a simple space that reminds you of home, to discover or return to those traditional flavors...Welcome and... bon appetit !;Gama media;Santa Magdalena 80 Local 7, Santiago 7500000 Chile;Providencia ;4.6;56 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Francesa;Restaurante
El Destape Bar;No tiene;Gama media;Av Manuel Montt 191, Manuel Montt 195, Santiago, Región Metropolitana;Providencia;4.9;5 de 101 bares y pubs en Santiago;Servicio de mesa;Opciones veganas;Otra;Bar
Majestic;Restaurante Majestic es el restaurante indio más antiguo y prestigioso de Santiago. Nuestros platos, preparados con gran dedicación por nuestro chef indio, han sido premiados por los críticos gastronómicos más importantes de Chile y reconocidos internacionalmente. Lo invitamos a disfrutar de una experiencia única para usted y su familia.;Más caro;5600 Presidente Kennedy Avenue at the corner of Luis Carrera, Santiago 8320000 Chile;Vitacura;4.1;125 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten ;India;Restaurante
The Raj Indian Restaurant;Disfruta de lo mejor del sabor de la India En Chile! Somos especialistas en cocina del Sur de la India, también cocinamos lo mejor de la cocina de todo nuestro país. Anímate a venir y no dejes que te lo cuenten;Gama media;Avenida Manuel Montt 1855, Santiago 7501332 Chile;Providencia;4.7;165 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;India;Restaurante
Latin Grill;One of the top restaurants in Santiago Chile, the Latin Grill offers locally farmed and sourced meats and fresh Chilean seafood combined with premium Chilean wines. Experience Menu farm to table perfect ambiance quality service.;Más caro;Av. Presidente Kennedy 5741 Dentro del Santiago Marriott Hotel, Santiago 8320000 Chile;Las Condes ;4.7;46 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Latinoamericana;Parrilla
Café Med;Taste the local flavors of a Santiago, Chile restaurant with modern ambiance that serves everything from all-American breakfast buffet and different lunch buffets daily to Chilean seafood specialties and Mediterranean fare.;Gama media;Av Presidente Kennedy 5741 Santiago Marriott Hotel, Santiago 8320000 Chile;Las Condes ;4.5;123 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Mediterránea;Restaurante
Peztoro;Mediterranean restaurant, you´ll find from pizzas and pastas to delicious Spanish tapas. Delight yourself with beers from around the world and try our French-style preparations;Gama media;José Victorino Lastarria 70 Local 6, Santiago 8320152 Chile;Santiago;4.1;70 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Italiana;Restaurante
Bocanáriz;Bocanáriz is a “Meeting Place” for tourists and locals who love wine. We are located in the heart of one of the most beautiful heritage districts of the city. We are a Wine bar and at the same time an innovative Restaurant, where the gastronomy has been designed to enhance the pairing with an extensive selection of wines. Attended by its owners and a trained team of sommeliers, the atmosphere is warm and casual, where the magic of an old restored house and the technology necessary to deliver an excellent service. We are a multicultural team that unites our passion for wine. Our team of sommeliers is oriented to guide you in an “Experience around wine”, telling you the story behind each label and its perfect combination with the flavors of our cuisine. Since our inception, we are focused on being the Chilean Wine Showcase, with one of the most extensive and awarded wine lists in our Country (More than 300 chilean wine by bottle, 36 wines by the glass);Gama media;Avenida Jose Victorino Lastarria 276 Santiago Historico, Santiago Chile;Santiago;4.5;42 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Mediterránea;Restaurante
Saffron Indian Delicacies;La Mejor comida típica de la india en Chile;Gama media;Avenida Nueva Costanera 3664, Santiago 7630000 Chile;Vitacura;4.7;111 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y  opciones sin gluten;India;Restaurante
La Finestra;"La conexión entre dos mundos hace que nazca un proyecto ligado a ideales comunes entre la cultura italiana y la chilena….donde se comulga en un sentido, el gozar con la buena meza y la bella arquitectura. Son simples elementos que unen a personas bajo un concepto de disfrute, donde la cocina artesanal italiana hace un hermoso juego en esta unión cultural, las pastas, pizzas, postres y cocktelería nos presentan los productos que generan la base del cálido ambiente de La Finestra, la ventana que se abre para conocer la mesa italiana, con tradición y estilo.
Al ingresar por el largo pasillo podemos impregnarnos de un poco de historia, romanticismo, belleza, amor por las artes y el cine. Son tres salones que permiten un ambiente ideal para compartir y conocerse bajo la música que resalta la maravillosa labor de nuestro Chef y nuestro maestro pizzero.
Además hay un bello rincón con un pedazo de cielo libre, donde alrededor de las velas y hermosa vegetación se puede disfrutar al aire libre de un spritz, una exquisita tabla, una pizza o unas pastas.
Desde Italia ha llegado el grupo humano que ha generado este ambiente  que nos transporta a esta cautivadora península europea. Sólo hay que ir a la Plaza Ñuñoa e ingresar a esta hermosa casona colonial llamada La Finestra.";Gama media;Avenida Irarrazaval 3465 Ñuñoa, Santiago 7760050 Chile;Ñuñoa;4.5;94 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Italiana;Restaurante
Ciudad Vieja Bellavista;En nuestra Ciudad Vieja, le damos la bienvenida al restaurante en la pintoresca esquina del barrio. Aquí podrá redescubrir el verdadero placer de comer, el sabor sencillo, gratificante y delicioso de la buena comida. Entrar en nuestra Ciudad Vieja significa cruzar el umbral de la cocina tradicional de antaño, donde los deliciosos aromas se arremolinan mágicamente y los sabores evocan experiencias encantadoras, donde la hospitalidad le invita a quedarse más tiempo y a volver siempre. Y son también los ingredientes más sencillos y frescos los que, con modestia, ofrecen los lujosos placeres de la excelente comida. Ciudad Vieja es nuestra cocina, nuestro comedor, el lugar donde le invitamos a sentirse como en casa: a entrar cuando quiera, a comer lo que quiera y como quiera... Y, sobre todo, a hacer de esta Sanguchería su lugar, tanto como lo es el nuestro.;Gama media;Constitución 92;Providencia;4.3;81 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas;Otra;Restaurante
The Singular Restaurant;Our Executive Chef, Hernán Basso, together with a team of professionals, surprise us with preparations that follow techniques from France but implemented with local produce from our country. A unique and memorable sensorial experience.;Más caro;Merced 294, Santiago 8320128 Chile;Santiago;4.6;57 de 3.950 restaurantes en Santiago;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Europea;Restaurante
Signore;Pizzeria italiana de alta calidad, con restaurant y bar, con todo lo que necesite para vivir la mejor experiencia e uno de los centros financieros de Santiago, al frente de Costanera Center y Hoteles como NH Collection y Double Three.;Gama media;Vitacura 2615, Santiago 7550191 Chile;Las Condes ;4.4;106 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas;Italiana;Pizzería
Sabor y Aroma Restaurante;En Restaurant Sabor y Aroma en La Dehesa, innovamos en la gastronomía peruana para marcar la diferencia que mereces con llamativas recetas e imponentes platos que fusionan la comida peruana y la comida asiática, un hecho poco común que encanta a todo el que la prueba y es que si a la gastronomía antigua de Perú le sumas cientos de años de influencia española y finalmente le añades un toque de cocina asiática de la inmigración del siglo XIX, lograrás tener un plano lleno de sabor e innovación.;Más caro;Av. Raúl Labbé 12559, Santiago 7690554 Chile;Lo Barnechea;4.6;47 de 3.950 restaurantes en Santiago;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Japonesa y Peruana;Restaurante
Ciudadano;No tiene;Gama media;Seminario 400, Santiago 8320000 Chile;Providencia ;4.3;4 de 101 bares y pubs en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten;Otra;Restaurante
Holy Moly;HOLY MOLY ofrece una auténtica experiencia de hamburguesas americanas. ¡Vegano y vegetariano! ¡Servicio a domicilio! ¡Atención al cliente!;Gama media;Merced 318, Santiago 8320310 Chile;Santiago;4.8;23 de 3.950 restaurantes en Santiago;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas;Norteamericana;Comida rápida
